entity_id,pass,reason,model,input_tokens,output_tokens
solid_green_hat_p322_s3__solid_blue_hat_p322_s4,0,"Image 4 remains blue like Image 2, not green like Image 1.",claude-opus-4-7,1491,41
solid_green_chair_p322_s2__solid_red_chair_p322_s3,1,Image 4 shows significant green (source color) replacing much of the red target color.,claude-opus-4-7,1491,42
solid_red_hat_p322_s1__solid_blue_hat_p322_s2,0,"Image 4 is purple, a mix, not clearly more like red than blue.",claude-opus-4-7,1491,42
solid_blue_chair_p322_s0__solid_green_chair_p322_s1,0,"Image 4 remains green like Image 2, not blue like Image 1.",claude-opus-4-7,1491,41
solid_red_chair_p322_s0__solid_green_chair_p322_s1,0,"Image 4 remains predominantly green like Image 2; only the legs turned red, body still matches target color.",claude-opus-4-7,1491,51
solid_green_vase_p322_s2__solid_red_vase_p322_s3,0,"Image 4 remains red like Image 2, not green like Image 1.",claude-opus-4-7,1491,40
solid_blue_mug_p322_s0__solid_green_mug_p322_s1,0,"Image 4 mug remains green like Image 2, not blue like Image 1.",claude-opus-4-7,1491,43
solid_green_mug_p322_s2__solid_red_mug_p322_s3,0,"Image 4 mug remains red like Image 2, not green like Image 1.",claude-opus-4-7,1491,42
solid_red_vase_p322_s0__solid_green_vase_p322_s1,0,"Image 4 remains green like Image 2, not red like Image 1.",claude-opus-4-7,1491,40
solid_blue_vase_p322_s4__solid_red_vase_p322_s0,0,"Image 4 remains red like Image 2, not blue like Image 1.",claude-opus-4-7,1491,41
solid_red_vase_p322_s1__solid_blue_vase_p322_s2,0,"Image 4 remains blue like Image 2, not red like Image 1.",claude-opus-4-7,1491,41
solid_green_chair_p322_s3__solid_blue_chair_p322_s4,0,"Image 4 remains predominantly blue like Image 2, with only partial green accents on legs.",claude-opus-4-7,1491,48
solid_red_mug_p322_s0__solid_green_mug_p322_s1,0,"Image 4 mug remains green like Image 2, not red like Image 1.",claude-opus-4-7,1491,42
solid_blue_mug_p322_s4__solid_red_mug_p322_s0,0,"Image 4 mug remains red like Image 2, not blue like Image 1.",claude-opus-4-7,1491,43
solid_blue_ball_p322_s0__solid_green_ball_p322_s1,0,"Image 4 remains green like Image 2, not blue like Image 1.",claude-opus-4-7,1491,41
solid_green_vase_p322_s3__solid_blue_vase_p322_s4,0,"Image 4 vase remains blue like Image 2, not green like Image 1.",claude-opus-4-7,1491,43
