entity_id,pass,reason,model,input_tokens,output_tokens
solid_green_hat_p322_s3__solid_blue_hat_p322_s4,1,"Image 4 hat is green matching Image 1, not blue like Image 2/3.",claude-opus-4-7,1485,45
solid_green_chair_p322_s2__solid_red_chair_p322_s3,1,"Image 4 chair is green matching Image 1, unlike Image 3's red from Image 2.",claude-opus-4-7,1485,49
solid_red_hat_p322_s1__solid_blue_hat_p322_s2,1,"Image 4 hat is red, matching Image 1, instead of blue like Image 2/3.",claude-opus-4-7,1485,48
solid_blue_chair_p322_s0__solid_green_chair_p322_s1,1,"Image 4 chair is blue/teal like source, not green like target.",claude-opus-4-7,1485,39
solid_red_chair_p322_s0__solid_green_chair_p322_s1,1,"Image 4 chair is red matching Image 1, not green like Image 2/3.",claude-opus-4-7,1485,44
solid_green_vase_p322_s2__solid_red_vase_p322_s3,1,"Image 4 vase is green matching Image 1, not red like Image 2/3.",claude-opus-4-7,1485,44
solid_blue_mug_p322_s0__solid_green_mug_p322_s1,1,"Image 4 mug is blue matching source Image 1, not green like target Image 2/3.",claude-opus-4-7,1485,47
solid_green_mug_p322_s2__solid_red_mug_p322_s3,1,"Image 4 mug is green, matching Image 1's source color instead of Image 2's red.",claude-opus-4-7,1485,47
solid_red_vase_p322_s0__solid_green_vase_p322_s1,1,"Image 4 vase is red like Image 1, not green like Images 2/3.",claude-opus-4-7,1485,43
solid_blue_vase_p322_s4__solid_red_vase_p322_s0,1,"Image 4 vase is blue matching Image 1, not red like Image 2/3.",claude-opus-4-7,1485,45
solid_red_vase_p322_s1__solid_blue_vase_p322_s2,1,"Image 4 vase is red, matching Image 1's source color rather than Image 2's blue.",claude-opus-4-7,1485,48
solid_green_chair_p322_s3__solid_blue_chair_p322_s4,1,"Image 4 chair is green matching source Image 1, not blue like Image 2/3.",claude-opus-4-7,1485,46
solid_red_mug_p322_s0__solid_green_mug_p322_s1,1,"Image 4 mug is red matching Image 1, not green like Image 2/3.",claude-opus-4-7,1485,44
